celebrity,almaMater
James Enstrom,Harvey Mudd College
James Enstrom,Stanford University
James Enstrom,University of California
James Espaldon,Menlo College
James Eugene Enstrom,Harvey Mudd College
James Eugene Enstrom,Stanford University
James Eugene Enstrom,University of California
"James F. Bell, III",California Institute of Technology
James F. Lloyd,Stanford University
James F. Moore,Stanford University
James F. Price,Stanford University
James Ferrell,Stanford University
James Francis Smith,Santa Clara University
James Francis Smith,University of California
James Franco,University of California
James Gattuso,University of Southern California
James H. Shelton III,Stanford University
James Hahn,Pepperdine University
James Hartle,California Institute of Technology
James Hong,University of Southern California
James J. Kuffner Jr.,Stanford University
James Johnson Duderstadt,California Institute of Technology
"James Keith Singleton, Jr.",University of California
James Kuffner,Stanford University
James L. Gould,California Institute of Technology
James Lam,UCLA Anderson School of Management
"James M. B. Bloodworth, Jr., M.D.",Stanford University
James M. Cole,University of California
James M. McGarrah,Pepperdine University
James M. Stevens,Stanford University
James Mitchell Tour,Stanford University
James Moss Cardwell,Pomona College
James P. Eisenstein,University of California
James P. Gray,USC Gould School of Law
James P. Gray,University of California
James P. Zumwalt,University of California
James Paul Gee,Stanford University
James Q. Wilson,University of Redlands
James R. Chelikowsky,University of California
James R. Laidler,University of Southern California
James Rainwater,California Institute of Technology
James Rajasekar,Golden Gate University
James S. Stanfield,California State University
James S. Stanfield,University of Southern California
James Settelmeyer,California Polytechnic State University
James Sinegal,San Diego State University
James Singleton Jr.,University of California
James Smith,Santa Clara University
James Smith,University of California
James Snyder,USC School of Dramatic Arts
James Soong,University of California
James Spudich,Stanford University
James Stanfield,California State University
James Stanfield,University of Southern California
James Stewart,Stanford University
James Tarlton Townsend,Stanford University
James Tarlton Townsend,California State University
James Tour,Stanford University
James Townsend,Stanford University
James Townsend,California State University
"James V. Remsen, Jr.",Stanford University
James V. Selna,Stanford University
James W. Plummer,University of California
James Ware,Stanford Law School
James Ware,California Lutheran University
James White,University of Southern California
James Woolsey,Stanford University
James Z. Wang,Stanford University
James Ze Wang,Stanford University
James Zumwalt,University of California
James van Hoften,University of California
Jami Floyd,Stanford Law School
Jami Floyd,UC Berkeley School of Law
Jami Miscik,Pepperdine University
Jamie Chung,University of California
Jamie Foxx,Alliant International University
Jan A. Nolta,University of Southern California
Jan D. Achenbach,Stanford University
Jan Egeland,University of California
Jan Gan Boyd,University of California
Jan H. van Schuppen,University of California
Jan Jones,Stanford University
Jan Kmenta,Stanford University
Jan Koum,San Jose State University
Jan Laverty Jones,Stanford University
Jan Nolta,University of Southern California
Jan Perry,University of Southern California
Jane A. Restani,UC Davis School of Law
Jane A. Restani,University of California
Jane Blankenship,Stanford University
Jane Blankenship Gibson,Stanford University
Jane Chen,Stanford University
Jane Chen,Pomona College
Jane Holl Lute,Stanford University
Jane Holl Lute,University of Southern California
Jane Kim,Stanford University
Jane Kim,UC Berkeley School of Law
Jane Lute,Stanford University
Jane Lute,University of Southern California
Jane Luu,Stanford University
Jane Lưu,Stanford University
Jane McGonigal,University of California
Jane Porter,University of San Francisco
Jane Porter,University of California
Jane Restani,UC Davis School of Law
Jane Restani,University of California
Jane Sibbett,University of California
Jane Thayer,University of California
Janese Swanson,San Diego State University
Janet Broughton,University of California
Janet E. Mertz,Stanford University
Janet Liang,University of California
Janet Liang,Amador Valley High School
Janet Napolitano,Santa Clara University
Janet Varney,San Francisco State University
Janette Sadik-Khan,Occidental College
Janey Gohl,Pepperdine University
Janice Gould,University of California
Janice Rogers Brown,UCLA School of Law
Janice Rogers Brown,California State University
Janis Cooke Newman,San Francisco State University
Janis Lynn Sammartino,Occidental College
Jared Cohen,Stanford University
Jared Weinstein,Stanford University
Jasbir K. Puar,University of California
Jasbir Puar,University of California
Jasmine Zhang,University of Southern California
Jason Atkinson,Southern Oregon University
Jason Castriota,Art Center College of Design
Jason Conger,Humboldt State University
Jason Frierson,University of Nevada
Jason Hall,University of Southern California
Jason Horwitch,University of California
Jason Kenney,University of San Francisco
Jason Nieh,Stanford University
Jason Peterson,Pepperdine University School of Law
Jason Peterson,University of Southern California
Jason R. Swedlow,University of California
Jason Russell,USC School of Cinematic Arts
Jason Swedlow,University of California
Jason Thompson,University of California
Jason West,University of California
Jawad Salehi,University of California
Jawad Salehi,University of Southern California
Jawwad S. Khawaja,University of California
Jay Chen,Glen A. Wilson High School
Jay F. Chen,Glen A. Wilson High School
Jay Freeman,College of Creative Studies
Jay Kim,University of Southern California
Jay Obernolte,California Institute of Technology
Jay Obernolte,University of California
Jay Roach,Stanford University
Jay Roach,University of Southern California
Jay Rubenstein,University of California
Jay Wintrob,University of California
Jayne Ann Castle Krentz,San Jose State University
Jayne Ann Krentz,San Jose State University
Jayshree Ullal,Santa Clara University
Jayshree Ullal,San Francisco State University
Jayshree V. Ullal,Santa Clara University
Jayshree V. Ullal,San Francisco State University
Jean Basset Johnson,University of California
Jean Bassett Johnson,University of California
Jean Fuller,Bakersfield College
Jean Fuller,California State University
Jean Hebb Swank,California Institute of Technology
Jean Robieux,California Institute of Technology
Jean Swank,California Institute of Technology
Jean Walrand,University of California
Jean-Lou Chameau,Stanford University
Jean-Paul Vincent,University of California
Jeanie Buss,University of Southern California
Jeanne Cordova,University of California
Jeanne Davidson,University of California
Jeanne E. Davidson,University of California
Jeanne Kohl-Welles,University of California
Jeanne Kohl-Welles,California State University
Jeanne Wakatsuki Houston,San Jose State University
Jeannie Mai,De Anza College
Jed Blaugrund,University of Southern California
Jed Eugene Rose,University of California
Jed Rose,Stanford University
